algorithm,number of nodes,weight,run time
CNN,10,271.4941350408202,0.0007624999852851033
CR,10,217.39402402145754,0.00051099993288517
CNN,10,217.74109920227153,0.0006576000014320016
CR,10,209.25756860963168,0.00046469992958009243
CNN,10,210.00859451566527,0.0007702000439167023
CR,10,226.37863302494236,0.00048260006587952375
CNN,10,233.0801191966077,0.0008788000559434295
CR,10,226.37863302494236,0.000497099943459034
CNN,10,233.0801191966077,0.0009381999261677265
CR,10,211.89754549751524,0.001756699988618493
CNN,10,223.38841840234124,0.0019470000406727195
CR,10,171.53408618910436,0.0012778000673279166
CNN,10,274.9926460616764,0.0012933999532833695
CR,10,171.53408618910436,0.0010848999954760075
CNN,10,274.9926460616764,0.001381700043566525
CR,10,167.60298472027463,0.0013840999454259872
CNN,10,201.04795485029243,0.0014148999471217394
CR,10,171.53408618910436,0.0011158999986946583
CNN,10,274.9926460616764,0.00141629995778203
CR,10,205.990260648652,0.0007847999222576618
CNN,10,217.48470901761397,0.0010339999571442604
CR,10,169.71659702477834,0.0006511000683531165
CNN,10,210.33723141132984,0.0012147000525146723
CR,10,175.8392212787007,0.000651499954983592
CNN,10,281.60671214650336,0.0009550999384373426
CR,10,180.84385557874427,0.0008535999804735184
CNN,10,205.3195620573457,0.0011230000527575612
CR,10,203.61861829080067,0.0006744000129401684
CNN,10,203.69144981702178,0.0009593000868335366
CR,10,177.13956053840863,0.0003032999811694026
CNN,10,224.42605836025936,0.0005721999332308769
CR,10,205.62107425860452,0.0004238999681547284
CNN,10,212.24970844165543,0.0005323999794200063
CR,10,196.02124366702765,0.000317899975925684
CNN,10,214.44754949984116,0.0005367000121623278
CR,10,177.13956053840863,0.00031779997516423464
CNN,10,224.42605836025936,0.0005764000816270709
CR,10,177.1395605384086,0.00029619992710649967
CNN,10,277.1784533505197,0.0004653999349102378
CR,10,213.62183760235092,0.0006705999840050936
CNN,10,239.68087582770318,0.0009723000694066286
CR,10,211.7932799524716,0.0006172000430524349
CNN,10,224.7947506646783,0.0008554999949410558
CR,10,208.90689142676771,0.0006194999441504478
CNN,10,208.9474547935705,0.0008678999729454517
CR,10,242.02024101960964,0.0007496000034734607
CNN,10,239.0731170164367,0.000907599925994873
CR,10,208.90689142676771,0.0006387000903487206
CNN,10,208.9474547935705,0.0008841999806463718
CR,10,182.55487887872098,0.0006730000022798777
CNN,10,293.7269233956322,0.0008224000921472907
CR,10,191.38461859255102,0.0006785000441595912
CNN,10,341.65070042720026,0.0009181000059470534
CR,10,195.58288938237328,0.0006901000160723925
CNN,10,195.64213449075294,0.0009919001022353768
CR,10,209.01593789235656,0.0007071999134495854
CNN,10,244.28076958498707,0.0008780999341979623
CR,10,202.99752029741626,0.0006751999026164412
CNN,10,212.78004081097595,0.000963800004683435
CR,10,159.24983429939726,0.0008137000259011984
CNN,10,159.24983429939726,0.000735800014808774
CR,10,159.24983429939726,0.0006723999977111816
CNN,10,159.24983429939726,0.000714199966751039
CR,10,159.24983429939726,0.0006843999726697803
CNN,10,159.24983429939726,0.0009885000763460994
CR,10,159.24983429939726,0.0006928000366315246
CNN,10,159.24983429939726,0.0007322001038119197
CR,10,163.68009098064024,0.0006693999748677015
CNN,10,163.68009098064024,0.0007040000054985285
CR,10,237.08078546925597,0.0004453000146895647
CNN,10,271.3856281959587,0.0008844000985845923
CR,10,199.55306236591906,0.00045060005504637957
CNN,10,215.6514963549359,0.0007137999637052417
CR,10,237.080785469256,0.0007975000189617276
CNN,10,257.4072065543442,0.0009043000172823668
CR,10,168.93989449425598,0.0005113999359309673
CNN,10,200.71484111105661,0.000762699986808002
CR,10,233.05105965206232,0.0007597000803798437
CNN,10,233.05105965206232,0.0011489000171422958
CR,10,214.76605401998646,0.0006733000045642257
CNN,10,251.66099885440383,0.0006509999511763453
CR,10,202.30962748267575,0.0003997000167146325
CNN,10,202.53846639394695,0.0006454000249505043
CR,10,191.70339037747644,0.0004311000229790807
CNN,10,325.41347290282357,0.0007434999570250511
CR,10,197.79046139265404,0.00041790003888309
CNN,10,216.81459045455586,0.0006606000242754817
CR,10,174.4630973887643,0.0006429000059142709
CNN,10,197.9385270599324,0.000968199921771884
CR,10,164.2147514058243,0.0005710000405088067
CNN,10,166.30523544485317,0.0006174000445753336
CR,10,237.9017141991509,0.0004461000207811594
CNN,10,260.6628328796985,0.0006435000104829669
CR,10,182.41020569284257,0.0004523000679910183
CNN,10,184.0131889103353,0.0007137000793591142
CR,10,169.5358431886635,0.0004953999305143952
CNN,10,179.7937384888564,0.0006280000088736415
CR,10,188.2214676598959,0.0004735999973490834
CNN,10,165.28057808474824,0.0006323999259620905
CR,10,231.2901174980866,0.000708900042809546
CNN,10,374.9890488823909,0.0007631999906152487
CR,10,224.20029776368727,0.0006326999282464385
CNN,10,268.14842828170424,0.0008747999090701342
CR,10,224.20029776368727,0.0006412999937310815
CNN,10,268.14842828170424,0.0009604999795556068
CR,10,227.3464691024321,0.0005936999805271626
CNN,10,251.3580417520994,0.0008592000231146812
CR,10,239.49005986764539,0.0006279000081121922
CNN,10,239.49005986764536,0.0009543999331071973
CR,10,177.3941574179341,0.0011392999440431595
CNN,10,177.69895028698986,0.00139999995008111
CR,10,197.53201859970224,0.0011904999846592546
CNN,10,197.53201859970224,0.0015098999720066786
CR,10,145.7627844912199,0.0011581000871956348
CNN,10,234.08020235907279,0.0011844000546261668
CR,10,145.7627844912199,0.0011169000063091516
CNN,10,230.81305188245207,0.0013157000066712499
CR,10,145.7627844912199,0.0012029999634250998
CNN,10,230.81305188245207,0.0012045000912621617
CR,10,225.49689391282516,0.0008773000445216894
CNN,10,217.11274826705062,0.0012895000400021672
CR,10,204.38139468424612,0.0008817999623715878
CNN,10,193.80386712309897,0.0011021998943760991
CR,10,248.4868306667923,0.0008817999623715878
CNN,10,248.4868306667923,0.001254200004041195
CR,10,288.790678892994,0.0008662999607622623
CNN,10,346.4114556793351,0.0011666000355035067
CR,10,242.69330353089538,0.0008716000011190772
CNN,10,250.87031291431566,0.001262799953110516
CR,10,221.21144644426184,0.0004260999849066138
CNN,10,233.4608730166347,0.0006818999536335468
CR,10,238.43146700177167,0.00045419996604323387
CNN,10,261.21936723385,0.0009009001078084111
CR,10,238.43146700177167,0.0004276999970898032
CNN,10,261.21936723385,0.0006918000290170312
CR,10,238.43146700177167,0.00043699995148926973
CNN,10,261.21936723385,0.0006886000046506524
CR,10,171.02286994721504,0.00044810003601014614
CNN,10,307.35183601318005,0.0007059999043121934
CR,10,129.87680479369195,0.00037780008278787136
CNN,10,178.57328484309153,0.0006228999700397253
CR,10,147.39459359682326,0.0003651999868452549
CNN,10,252.8436784580131,0.0006380999693647027
CR,10,197.62854985494792,0.0003952999832108617
CNN,10,212.98424544714362,0.0006418999982997775
CR,10,162.6346140861786,0.000412600114941597
CNN,10,187.3079004962123,0.0006547999801114202
CR,10,162.6346140861786,0.00037910009268671274
CNN,10,187.3079004962123,0.0007244000444188714
CR,10,148.75312685667296,0.0004342000465840101
CNN,10,192.45392470809585,0.0007036000024527311
CR,10,219.01008262680665,0.0004885999951511621
CNN,10,204.88258036240913,0.0008169000502675772
CR,10,230.61967614705287,0.0004646000452339649
CNN,10,249.84168935552742,0.0006855000974610448
CR,10,206.2482639068189,0.00045149994548410177
CNN,10,202.1095806912582,0.0006849999772384763
CR,10,206.2482639068189,0.0004752000095322728
CNN,10,202.1095806912582,0.0008162999292835593
CR,10,230.36875737754448,0.000598300015553832
CNN,10,231.76539041957295,0.0008355999598279595
CR,10,158.73416257681183,0.0005990000208839774
CNN,10,210.752502502911,0.0009637000039219856
CR,10,273.5606742359655,0.0006076000863686204
CNN,10,221.49209709861648,0.0009419999551028013
CR,10,284.0829599267606,0.0006761999102309346
CNN,10,258.37760289700844,0.0010522999800741673
CR,10,229.7539190217175,0.0006569999968633056
CNN,10,236.60109061095554,0.001055200002156198
CR,10,155.9254000282452,0.0005182999884709716
CNN,10,155.9254000282452,0.0004732999950647354
CR,10,157.57689383680784,0.00043949997052550316
CNN,10,272.8110287678066,0.0004365000640973449
CR,10,155.92540002824526,0.0003664999967440963
CNN,10,155.92540002824526,0.00042940001003444195
CR,10,155.92540002824524,0.0003709000302478671
CNN,10,155.92540002824524,0.0004417999880388379
CR,10,155.9254000282452,0.0003795999800786376
CNN,10,155.9254000282452,0.0006099999882280827
CR,10,163.62804991826027,0.0006775000365450978
CNN,10,163.62804991826027,0.0007266000611707568
CR,10,157.98201651605592,0.0006603999063372612
CNN,10,157.98201651605592,0.0008338999468833208
CR,10,159.81648868163072,0.0006997999735176563
CNN,10,159.81648868163072,0.0007512999000027776
CR,10,156.87434847233337,0.0007226000307127833
CNN,10,156.87434847233337,0.0007548999274149537
CR,10,156.87434847233334,0.0006859999848529696
CNN,10,156.87434847233334,0.0008998999837785959
CR,10,175.5297540551032,0.0004560999805107713
CNN,10,219.11027116275858,0.000867099966853857
CR,10,155.42894335282116,0.0004659999394789338
CNN,10,152.38077887745433,0.0008499999530613422
CR,10,197.1906568675074,0.0004024999216198921
CNN,10,204.25313297653923,0.0005684000207111239
CR,10,175.65173309034486,0.0004010000266134739
CNN,10,197.38673488245752,0.0005688000237569213
CR,10,175.5297540551032,0.00044710002839565277
CNN,10,219.11027116275858,0.0008836999768391252
CR,10,225.81841685625767,0.00040479993913322687
CNN,10,178.35538121246486,0.0005663000047206879
CR,10,203.74052146053378,0.00039199995808303356
CNN,10,213.6654198203977,0.0006851000944152474
CR,10,210.71704221814448,0.00041039998177438974
CNN,10,226.54504890498328,0.000604500062763691
CR,10,187.170712161993,0.00043450004886835814
CNN,10,209.95270366244785,0.0006243000971153378
CR,10,195.33297200474146,0.00044790003448724747
CNN,10,205.41646135822054,0.0006861999863758683
CR,10,181.22640296406064,0.00044380000326782465
CNN,10,188.2770596276123,0.0007666000165045261
CR,10,224.4233559406284,0.0005179999861866236
CNN,10,212.35014406788932,0.000978900003246963
CR,10,208.64433367578943,0.00044049997813999653
CNN,10,211.3196883674865,0.0007192000048235059
CR,10,210.61275772715632,0.00047800003085285425
CNN,10,213.36055875862044,0.0008597999112680554
CR,10,210.61275772715632,0.0004949999274685979
CNN,10,213.36055875862044,0.0011186999035999179
CR,10,247.6098308469569,0.0006945000495761633
CNN,10,359.65270103510096,0.0009605999803170562
CR,10,236.7093895424381,0.0007328999927267432
CNN,10,389.1325486268593,0.0010307000484317541
CR,10,232.39297946498004,0.0007309999782592058
CNN,10,235.71156533201264,0.0009290999732911587
CR,10,247.6098308469569,0.0007556000491604209
CNN,10,359.65270103510096,0.0010691999923437834
CR,10,270.0067379360043,0.0007459999760612845
CNN,10,224.70944769665118,0.0009515000274404883
CR,10,221.00903272217943,0.000673400005325675
CNN,10,238.55485736000009,0.0010951999574899673
