algorithm,number of nodes,weight,run time
CR,50,3915.8593603411077,0.015005699940957129
CNN,50,4510.5859089660635,0.06932410004083067
CR,50,3355.581318977148,0.015044800005853176
CNN,50,4362.785916685001,0.06014560000039637
CR,50,3191.961687604988,0.014868499943986535
CNN,50,2894.980753586167,0.08366739994380623
CR,50,2734.344652601318,0.012473199982196093
CNN,50,2605.9319231630175,0.0524728000164032
CR,50,2949.999520186543,0.012452200055122375
CNN,50,2588.13690278103,0.049508700030855834
CR,50,3255.266376440696,0.012476200005039573
CNN,50,2568.9264296617985,0.07212580007035285
CR,50,2960.16635098957,0.012506700004450977
CNN,50,2344.1538846281046,0.050695399986580014
CR,50,2936.683487419385,0.012422499945387244
CNN,50,3836.5368496636543,0.0685336000751704
CR,50,2655.815523497038,0.008683299995027483
CNN,50,2473.2884428934703,0.044021000037901103
CR,50,2745.9088725291253,0.00855779997073114
CNN,50,3667.6691842638897,0.05677480006124824
CR,50,3230.111639531471,0.0086689000017941
CNN,50,2508.0592605910097,0.05084449995774776
CR,50,2663.181365905638,0.008529399987310171
CNN,50,3830.7647511756477,0.04915400000754744
CR,50,2427.7101783720555,0.00850760005414486
CNN,50,2261.708535329385,0.04840970004443079
CR,50,2994.8755330826266,0.005472599994391203
CNN,50,2781.6091190291986,0.04870929999742657
CR,50,3006.958433151102,0.005517400102689862
CNN,50,2673.873118465317,0.04860270000062883
CR,50,3148.7500760411044,0.0054833999602124095
CNN,50,2617.311767883004,0.04967690003104508
CR,50,3093.2576991234437,0.005469399970024824
CNN,50,4133.702831361233,0.05742710002232343
CR,50,3010.2446345825056,0.00556909991428256
CNN,50,2863.662532136938,0.062263700063340366
CR,50,3487.5455680779837,0.012114300043322146
CNN,50,3915.1594802859245,0.08701979997567832
CR,50,3152.9323952471864,0.012375600053928792
CNN,50,3692.7391427236694,0.07147670001722872
CR,50,3443.9808602289086,0.012588799931108952
CNN,50,2849.9913427302913,0.09469479997642338
CR,50,3243.9856343775823,0.012323500006459653
CNN,50,2629.6116023506406,0.07626330002676696
CR,50,3680.020059375918,0.012268299935385585
CNN,50,3881.203679384276,0.07793459994718432
CR,50,2694.8582513349666,0.010031200014054775
CNN,50,2569.495456330418,0.060540900100022554
CR,50,2597.337638363385,0.0101048001088202
CNN,50,2518.4728150733063,0.05108480004128069
CR,50,2739.856213855542,0.010042699985206127
CNN,50,3558.722874156763,0.05638960003852844
CR,50,2635.540930488177,0.010142600047402084
CNN,50,3703.393019474737,0.06199289998039603
CR,50,2632.854446035477,0.010027299984358251
CNN,50,2632.3711732689617,0.07336119993124157
CR,50,2926.9539403355407,0.010837199981324375
CNN,50,2280.4888920782496,0.06489329994656146
CR,50,2753.0157597653306,0.01099350000731647
CNN,50,2528.9321079329093,0.07247600005939603
CR,50,2912.4064896152995,0.01098609995096922
CNN,50,2681.0308208347533,0.06381169997621328
CR,50,3307.0577258310673,0.010998800047673285
CNN,50,2689.3304724852587,0.07189390005078167
CR,50,2925.0857489565465,0.011355800088495016
CNN,50,2482.6807088384203,0.08958929998334497
CR,50,2592.7495358557585,0.010111700044944882
CNN,50,2402.2932564566486,0.04397669993340969
CR,50,3002.916123993921,0.01017420005518943
CNN,50,3788.2002956522124,0.10666339995805174
CR,50,3057.3719192604804,0.010427499888464808
CNN,50,2506.8801581466005,0.04186090000439435
CR,50,2595.7205881717227,0.010249400045722723
CNN,50,2699.5947599729107,0.0894724999088794
CR,50,2894.6154019257815,0.010240600095130503
CNN,50,3758.4078389850793,0.040223499992862344
CR,50,3038.861938357182,0.010416800039820373
CNN,50,2920.006602037678,0.0641583000542596
CR,50,2844.227215928035,0.010431800037622452
CNN,50,2595.3993135155156,0.05961420002859086
CR,50,3012.913075852169,0.010599200031720102
CNN,50,2713.3966336194017,0.05656930000986904
CR,50,3279.918840280024,0.010495500057004392
CNN,50,2733.014395918113,0.06606439989991486
CR,50,2918.030291266018,0.010564800002612174
CNN,50,2831.485230948164,0.07054929994046688
CR,50,3209.5807481738375,0.011985199991613626
CNN,50,4092.5447165344062,0.07490960007999092
CR,50,3590.0839724628527,0.011783899972215295
CNN,50,2849.25216779588,0.0921121999854222
CR,50,3144.958927011672,0.012175700045190752
CNN,50,2809.6305657346493,0.08693140000104904
CR,50,3433.071364518906,0.021005799993872643
CNN,50,2754.3823712618923,0.06066740001551807
CR,50,3770.062593898874,0.011841799947433174
CNN,50,2815.5532808256803,0.0710452999919653
CR,50,3110.4689889937117,0.01160550001077354
CNN,50,4059.8818997081644,0.08066790003795177
CR,50,3171.4327642747785,0.011598400073125958
CNN,50,3864.367615801706,0.06973860005382448
CR,50,3234.2500330397866,0.011086400016210973
CNN,50,4051.807279920055,0.0687358999857679
CR,50,3083.2584264257052,0.01112829998601228
CNN,50,2785.7116372122646,0.07952059991657734
CR,50,3110.4817092621433,0.011177899898029864
CNN,50,2812.043914258526,0.07974580000154674
CR,50,2906.723753079078,0.013169600046239793
CNN,50,3851.399116645817,0.08340070000849664
CR,50,2619.8329622195574,0.013228600029833615
CNN,50,2591.6521460209387,0.06269849999807775
CR,50,2906.723753079078,0.013274299912154675
CNN,50,3851.399116645817,0.08133399998769164
CR,50,2827.4153725815686,0.013255700003355742
CNN,50,3017.169263782141,0.093049900024198
CR,50,2870.7019324451385,0.013268399983644485
CNN,50,2630.3515762615602,0.080303700058721
CR,50,3805.3370758470633,0.018854400026611984
CNN,50,2755.3759613368775,0.08465179998893291
CR,50,4031.240991613458,0.01889370009303093
CNN,50,2829.1412530508915,0.08313970000017434
CR,50,3468.112629692482,0.018777000019326806
CNN,50,3677.296008160031,0.10315420001279563
CR,50,3788.883052080364,0.01873520005028695
CNN,50,2737.4219903094504,0.11056649999227375
CR,50,3524.8356097753745,0.018785799969919026
CNN,50,2677.5888102118884,0.08125599997583777
CR,50,2996.120823040763,0.012930599972605705
CNN,50,2401.4570522147724,0.08099879999645054
CR,50,2737.3911855678293,0.012540100025944412
CNN,50,2371.9766233486944,0.07615579990670085
CR,50,2592.4672232363573,0.01256699999794364
CNN,50,2211.405719647661,0.0644851999823004
CR,50,2702.1377653489544,0.012517500086687505
CNN,50,3196.632437557057,0.06467889994382858
CR,50,2562.913130840594,0.012502300087362528
CNN,50,3389.877700126026,0.06649839994497597
CR,50,3126.5561233066805,0.014397599967196584
CNN,50,2799.0784547142835,0.06649259990081191
CR,50,3127.312136367757,0.014607599936425686
CNN,50,2732.4530013755407,0.05970730003900826
CR,50,2962.325288276623,0.014558800030499697
CNN,50,2933.9419353439507,0.05987500003539026
CR,50,2906.677651112398,0.014497200027108192
CNN,50,2819.66528229888,0.05950089998077601
CR,50,3477.208212031923,0.014493800001218915
CNN,50,2942.073721123365,0.08187999995425344
CR,50,3277.1170830995698,0.0072619999991729856
CNN,50,4078.515047143024,0.05877379991579801
CR,50,3402.590474934075,0.007290799985639751
CNN,50,2843.016855683899,0.05842849996406585
CR,50,3277.1170830995698,0.00724499998614192
CNN,50,4078.515047143024,0.05941099999472499
CR,50,3215.9532146742376,0.0072601999854668975
CNN,50,2747.4281818929594,0.05223279993515462
CR,50,3247.274908662383,0.007165700080804527
CNN,50,3987.028960337591,0.05265160009730607
CR,50,2930.8517263686185,0.009679500013589859
CNN,50,2456.886300019748,0.07400859997142106
CR,50,2896.9127048176015,0.00963769992813468
CNN,50,2414.7182981651704,0.06683099991641939
CR,50,2868.296804788778,0.009531899937428534
CNN,50,3627.9207100789095,0.06265039998106658
CR,50,2948.9782185007152,0.00962620007339865
CNN,50,3365.8249804698257,0.06051320000551641
CR,50,2889.8814152485306,0.009598500095307827
CNN,50,3823.0736111797078,0.07274539989884943
CR,50,3327.047736953105,0.006882699904963374
CNN,50,3893.6259016670897,0.061030999990180135
CR,50,2958.3324231018055,0.006919400067999959
CNN,50,4167.583620475252,0.061922699911519885
CR,50,2958.3324231018055,0.006923500099219382
CNN,50,4167.583620475252,0.06158599990885705
CR,50,3514.45241477366,0.006976200034841895
CNN,50,2746.687580756712,0.07358470000326633
CR,50,2790.4801154752868,0.006936099962331355
CNN,50,3814.671181149712,0.05489350005518645
CR,50,3524.042294935522,0.008946400019340217
CNN,50,2934.0098563417446,0.05709100002422929
CR,50,3324.8823232634422,0.009072900051251054
CNN,50,4414.049920221041,0.06892570003401488
CR,50,3431.043437758359,0.00901999999769032
CNN,50,3100.03230213272,0.0685651000821963
CR,50,3300.60372888918,0.008946299902163446
CNN,50,2912.355066877021,0.06952220003586262
CR,50,3867.634692130162,0.008934500045143068
CNN,50,4305.643437601009,0.061718199984170496
