algorithm,number of nodes,k,weight,run time
CR,50,5,1615.8076683172198,0.014010899933055043
CNN,50,5,1615.8076683172198,0.016419499996118248
CR,50,5,1496.5258868107026,0.013871900038793683
CNN,50,5,1496.5258868107026,0.01602459989953786
CR,50,5,1496.525886810702,0.013592199888080359
CNN,50,5,1496.525886810702,0.01587799994740635
CR,50,5,1496.5258868107023,0.013531900011003017
CNN,50,5,1496.5258868107023,0.017242199974134564
CR,50,5,1520.5270902712396,0.013647500076331198
CNN,50,5,1520.5270902712396,0.01607389992568642
CR,50,5,1520.5270902712398,0.013896999997086823
CNN,50,5,1520.5270902712398,0.01630779996048659
CR,50,5,1552.6034049908092,0.011628799955360591
CNN,50,5,1552.6034049908092,0.014346700045280159
CR,50,5,1585.5015865205607,0.011503499932587147
CNN,50,5,1585.5015865205607,0.01382619992364198
CR,50,5,1556.3968826756927,0.011436900007538497
CNN,50,5,1556.3968826756927,0.013756099971942604
CR,50,5,1572.2180780975941,0.01152850000653416
CNN,50,5,1572.2180780975941,0.013969099964015186
CR,50,5,1572.2180780975948,0.0114987000124529
CNN,50,5,1572.2180780975948,0.013829100062139332
CR,50,5,1636.9286101920654,0.012955899932421744
CNN,50,5,1636.9286101920654,0.015344699961133301
CR,50,5,1688.0237878928845,0.012964900000952184
CNN,50,5,1688.0237878928845,0.015579300001263618
CR,50,5,1688.0237878928845,0.013002899941056967
CNN,50,5,1688.0237878928845,0.01546210004016757
CR,50,5,1652.839671613446,0.013013500021770597
CNN,50,5,1652.839671613446,0.015324800042435527
CR,50,5,1703.751115570067,0.01306190004106611
CNN,50,5,1703.751115570067,0.01527229999192059
CR,50,5,1534.9434410050133,0.0051172999665141106
CNN,50,5,1534.9434410050133,0.00733560009393841
CR,50,5,1471.8963245122616,0.004979300079867244
CNN,50,5,1471.8963245122616,0.007296800031326711
CR,50,5,1495.2420902886408,0.004999500000849366
CNN,50,5,1495.2420902886408,0.0072885999688878655
CR,50,5,1479.274200572295,0.00497809995431453
CNN,50,5,1479.274200572295,0.007361000054515898
CR,50,5,1471.8963245122618,0.004984799888916314
CNN,50,5,1471.8963245122618,0.0073373999912291765
CR,50,5,1939.0429853705705,0.017192799947224557
CNN,50,5,1975.0050009689658,0.021974700037389994
CR,50,5,1583.355875438675,0.01751250005327165
CNN,50,5,1647.3961530068275,0.027502499986439943
CR,50,5,1916.3967291706872,0.01772429991979152
CNN,50,5,1941.324016609262,0.022481600055471063
CR,50,5,1624.676387078553,0.017596399993635714
